mssg_size, time_lzw, 
1, 0.002, 
2, 0.003, 
3, 0.013, 
4, 0.015, 
5, 0.018, 
6, 0.021, 
7, 0.029, 
8, 0.034, 
9, 0.032, 
10, 0.037, 
