mssg_size, time, time_rle,time_rot13,time_rle2,
157, 0.052, 0.029,0.001,0.001,
158, 0.052, 0.029,0.001,0.001,
159, 0.048, 0.029,0.001,0.004,
160, 0.064, 0.042,0.001,0.003,
161, 0.052, 0.031,0.001,0.004,
162, 0.055, 0.029,0.001,0.001,
163, 0.047, 0.03,0.001,0.001,
164, 0.046, 0.031,0.001,0.002,
165, 0.068, 0.043,0.001,0.004,
166, 0.049, 0.029,0.001,0.002,
167, 0.049, 0.03,0.001,0.002,
168, 0.05, 0.031,0.001,0.003,
169, 0.046, 0.029,0.001,0.005,
170, 0.051, 0.03,0.001,0.002,
171, 0.052, 0.031,0.001,0.002,
172, 0.047, 0.031,0.001,0.003,
173, 0.046, 0.031,0.001,0.002,
174, 0.044, 0.029,0.001,0.003,
175, 0.054, 0.033,0.001,0.002,
176, 0.059, 0.039,0.002,0.003,
177, 0.045, 0.031,0.001,0.002,
178, 0.05, 0.033,0.001,0.002,
179, 0.047, 0.031,0.001,0.003,
180, 0.056, 0.033,0.002,0.004,
181, 0.055, 0.032,0.001,0.003,
182, 0.057, 0.036,0.001,0.004,
183, 0.054, 0.034,0.002,0.002,
184, 0.055, 0.033,0.001,0.003,
185, 0.049, 0.035,0.001,0.002,
186, 0.059, 0.045,0.001,0.003,
187, 0.062, 0.032,0.001,0.004,
188, 0.049, 0.033,0.001,0.003,
189, 0.062, 0.034,0.001,0.003,
190, 0.055, 0.034,0.001,0.003,
191, 0.054, 0.034,0.002,0.002,
192, 0.05, 0.037,0.001,0.003,
193, 0.071, 0.035,0.001,0.003,
194, 0.05, 0.036,0.001,0.002,
195, 0.049, 0.037,0.001,0.002,
196, 0.065, 0.048,0.001,0.003,
197, 0.053, 0.038,0.001,0.002,
198, 0.064, 0.039,0.001,0.002,
199, 0.046, 0.037,0.001,0.003,
200, 0.055, 0.036,0.001,0.003,
201, 0.055, 0.04,0.001,0.003,
202, 0.047, 0.035,0.001,0.002,
203, 0.048, 0.042,0.001,0.002,
204, 0.049, 0.037,0.001,0.002,
205, 0.047, 0.038,0.001,0.004,
206, 0.076, 0.055,0.001,0.002,
207, 0.05, 0.037,0.003,0.002,
208, 0.051, 0.04,0.001,0.002,
209, 0.047, 0.039,0.001,0.002,
210, 0.05, 0.038,0.001,0.001,
211, 0.05, 0.039,0.001,0.002,
212, 0.052, 0.046,0.002,0.002,
213, 0.073, 0.041,0.002,0.002,
214, 0.059, 0.043,0.001,0.002,
215, 0.065, 0.063,0.001,0.004,
216, 0.051, 0.039,0.002,0.002,
217, 0.048, 0.041,0.001,0.002,
218, 0.049, 0.038,0.001,0.003,
219, 0.047, 0.04,0.002,0.002,
220, 0.048, 0.039,0.001,0.003,
221, 0.034, 0.036,0,0.001,
222, 0.03, 0.038,0,0.001,
223, 0.03, 0.037,0,0.001,
224, 0.089, 0.057,0.002,0.002,
225, 0.084, 0.054,0.003,0.003,
226, 0.072, 0.041,0.002,0.006,
227, 0.099, 0.049,0.001,0.006,
228, 0.105, 0.048,0.002,0.006,
229, 0.092, 0.045,0.001,0.005,
230, 0.1, 0.044,0.002,0.001,
231, 0.088, 0.058,0.003,0.003,
232, 0.038, 0.044,0.002,0,
233, 0.039, 0.04,0,0.001,
234, 0.038, 0.041,0,0.001,
235, 0.046, 0.053,0,0,
236, 0.04, 0.044,0,0.001,
237, 0.043, 0.04,0,0.001,
238, 0.045, 0.039,0,0,
239, 0.049, 0.047,0.001,0,
240, 0.043, 0.042,0.001,0,
241, 0.045, 0.042,0,0,
242, 0.053, 0.055,0.001,0,
243, 0.05, 0.045,0.001,0,
244, 0.04, 0.042,0.001,0,
245, 0.04, 0.043,0.001,0,
246, 0.042, 0.041,0.001,0,
247, 0.042, 0.045,0.001,0,
248, 0.044, 0.057,0,0.002,
249, 0.044, 0.049,0,0,
250, 0.043, 0.043,0.001,0,
251, 0.049, 0.044,0,0,
252, 0.051, 0.043,0,0.001,
253, 0.04, 0.049,0,0.001,
254, 0.043, 0.056,0.001,0,
255, 0.042, 0.045,0.001,0,
256, 0.041, 0.043,0.003,0,
257, 0.043, 0.051,0,0.001,
258, 0.038, 0.047,0.001,0,
259, 0.046, 0.053,0.001,0,
260, 0.038, 0.045,0,0.001,
261, 0.041, 0.046,0,0.001,
262, 0.04, 0.05,0,0,
263, 0.044, 0.047,0.001,0,
264, 0.039, 0.046,0,0.001,
265, 0.044, 0.062,0,0.001,
266, 0.032, 0.046,0,0,
267, 0.031, 0.048,0,0,
268, 0.038, 0.048,0.001,0,
269, 0.033, 0.047,0.001,0,
270, 0.034, 0.049,0,0.001,
271, 0.033, 0.046,0,0,
272, 0.032, 0.046,0,0.001,
273, 0.035, 0.048,0,0.001,
274, 0.036, 0.049,0.001,0,
275, 0.032, 0.049,0,0.001,
276, 0.036, 0.047,0.001,0,
277, 0.036, 0.13,0,0.001,
278, 0.031, 0.049,0.001,0,
279, 0.032, 0.048,0,0.001,
280, 0.035, 0.054,0,0.001,
281, 0.039, 0.049,0,0.001,
282, 0.035, 0.049,0,0,
283, 0.033, 0.047,0.001,0,
284, 0.035, 0.049,0,0,
285, 0.055, 0.051,0,0.001,
286, 0.035, 0.049,0.001,0,
287, 0.034, 0.05,0,0.002,
288, 0.031, 0.059,0.001,0,
289, 0.051, 0.053,0.001,0,
290, 0.035, 0.049,0.001,0,
291, 0.038, 0.051,0.001,0,
292, 0.033, 0.049,0,0,
293, 0.032, 0.054,0.002,0,
294, 0.034, 0.051,0.001,0,
295, 0.035, 0.049,0,0.001,
296, 0.034, 0.05,0,0.001,
297, 0.032, 0.05,0.002,0,
298, 0.037, 0.052,0,0,
299, 0.035, 0.051,0.001,0,
300, 0.036, 0.069,0.001,0.001,
301, 0.034, 0.054,0.001,0,
302, 0.032, 0.058,0,0,
303, 0.036, 0.059,0.001,0,
304, 0.039, 0.053,0,0.001,
305, 0.04, 0.056,0.001,0,
306, 0.043, 0.053,0.001,0,
307, 0.046, 0.06,0.001,0,
308, 0.061, 0.061,0.001,0,
