mssg_size, time, time_rle,time_rot13,time_rle2,
702, 0.047, 0.121,0.001,0.001,
703, 0.05, 0.127,0.001,0.001,
704, 0.055, 0.143,0.001,0,
705, 0.05, 0.13,0.001,0.001,
706, 0.051, 0.126,0.001,0.001,
707, 0.052, 0.122,0.001,0.002,
708, 0.058, 0.129,0.001,0.001,
709, 0.051, 0.121,0.002,0,
710, 0.051, 0.152,0.001,0.001,
711, 0.033, 0.124,0.001,0,
712, 0.037, 0.12,0.001,0,
713, 0.034, 0.122,0.001,0.003,
714, 0.038, 0.123,0.001,0,
715, 0.033, 0.119,0.001,0.001,
716, 0.035, 0.122,0.001,0,
717, 0.045, 0.136,0,0.001,
718, 0.036, 0.12,0.001,0.001,
719, 0.033, 0.127,0.001,0.001,
720, 0.035, 0.125,0.001,0,
721, 0.032, 0.126,0.001,0.001,
722, 0.037, 0.136,0,0.003,
723, 0.034, 0.149,0.001,0.001,
724, 0.035, 0.125,0.001,0.001,
725, 0.033, 0.128,0.001,0,
726, 0.035, 0.124,0.002,0,
727, 0.036, 0.125,0.001,0,
728, 0.033, 0.124,0,0.001,
729, 0.038, 0.14,0.002,0.001,
730, 0.044, 0.123,0.001,0.001,
731, 0.037, 0.13,0.001,0,
732, 0.037, 0.125,0.001,0.001,
733, 0.034, 0.123,0.002,0.001,
734, 0.036, 0.125,0,0.001,
735, 0.033, 0.125,0.002,0.001,
736, 0.047, 0.141,0.001,0.001,
737, 0.04, 0.13,0.001,0,
738, 0.035, 0.127,0,0.001,
739, 0.039, 0.126,0,0.001,
740, 0.035, 0.125,0.001,0.001,
741, 0.033, 0.135,0.001,0,
742, 0.034, 0.163,0.001,0.002,
743, 0.033, 0.13,0.001,0.001,
744, 0.035, 0.125,0.001,0.001,
745, 0.036, 0.127,0.001,0.001,
746, 0.058, 0.136,0.001,0.001,
747, 0.049, 0.13,0,0.001,
748, 0.049, 0.156,0.001,0.001,
749, 0.032, 0.13,0,0.001,
750, 0.033, 0.126,0,0.001,
751, 0.034, 0.13,0,0.001,
752, 0.041, 0.128,0.001,0.001,
753, 0.045, 0.142,0.001,0.001,
754, 0.046, 0.151,0.001,0,
755, 0.035, 0.13,0.001,0,
756, 0.034, 0.14,0.001,0,
757, 0.036, 0.127,0.002,0,
758, 0.037, 0.131,0.001,0,
759, 0.037, 0.135,0.002,0.001,
760, 0.039, 0.169,0.001,0,
761, 0.045, 0.14,0.001,0.004,
762, 0.054, 0.129,0.001,0.001,
763, 0.052, 0.139,0.001,0.001,
764, 0.052, 0.145,0,0.001,
765, 0.04, 0.148,0.001,0.001,
766, 0.042, 0.134,0.001,0.001,
767, 0.059, 0.131,0.001,0.001,
768, 0.044, 0.134,0.003,0,
769, 0.05, 0.14,0,0.001,
770, 0.042, 0.133,0.001,0,
771, 0.06, 0.159,0.001,0.001,
772, 0.047, 0.135,0.001,0.001,
773, 0.053, 0.139,0.001,0.001,
774, 0.052, 0.146,0,0.001,
775, 0.05, 0.135,0.001,0.001,
776, 0.042, 0.149,0.001,0.001,
777, 0.045, 0.139,0.001,0,
778, 0.042, 0.134,0.001,0,
779, 0.061, 0.14,0.001,0.001,
780, 0.04, 0.146,0.001,0.001,
781, 0.041, 0.139,0.001,0.001,
782, 0.043, 0.167,0.001,0,
783, 0.053, 0.138,0.001,0,
784, 0.06, 0.14,0,0.001,
785, 0.053, 0.136,0.001,0,
786, 0.045, 0.136,0.003,0,
787, 0.047, 0.164,0.001,0.001,
788, 0.039, 0.145,0.001,0.001,
789, 0.04, 0.134,0.001,0,
790, 0.049, 0.137,0.001,0,
791, 0.047, 0.135,0.001,0.001,
792, 0.045, 0.139,0.001,0,
793, 0.049, 0.168,0.001,0.001,
794, 0.046, 0.141,0.001,0.001,
795, 0.038, 0.14,0.001,0,
796, 0.033, 0.134,0.001,0.001,
797, 0.033, 0.135,0,0.001,
798, 0.035, 0.149,0.001,0.001,
799, 0.046, 0.14,0.001,0.003,
800, 0.033, 0.137,0.001,0.001,
801, 0.038, 0.133,0.001,0.004,
802, 0.037, 0.136,0.001,0.001,
803, 0.034, 0.134,0,0.001,
804, 0.037, 0.163,0.001,0.005,
805, 0.036, 0.135,0.006,0.001,
806, 0.035, 0.141,0.001,0.001,
807, 0.036, 0.138,0.001,0.001,
808, 0.036, 0.135,0.001,0.001,
809, 0.033, 0.14,0,0.001,
810, 0.033, 0.165,0.001,0.001,
811, 0.033, 0.138,0.001,0,
812, 0.032, 0.138,0,0.001,
813, 0.042, 0.147,0.001,0,
814, 0.042, 0.15,0,0.001,
815, 0.068, 0.151,0.001,0.004,
816, 0.05, 0.155,0.001,0.001,
817, 0.048, 0.14,0.001,0,
818, 0.041, 0.157,0.002,0,
819, 0.049, 0.155,0.001,0,
820, 0.064, 0.142,0.001,0,
821, 0.041, 0.177,0.002,0.001,
822, 0.052, 0.143,0.001,0,
823, 0.051, 0.142,0.001,0.001,
824, 0.049, 0.15,0.001,0,
825, 0.043, 0.146,0.001,0,
826, 0.062, 0.172,0.001,0,
827, 0.035, 0.14,0.001,0.001,
828, 0.042, 0.143,0.001,0.001,
829, 0.053, 0.156,0.001,0,
830, 0.043, 0.143,0.001,0.001,
831, 0.049, 0.165,0.002,0.001,
832, 0.054, 0.146,0.002,0,
833, 0.055, 0.145,0,0.001,
834, 0.058, 0.143,0.001,0.001,
835, 0.076, 0.155,0.001,0.001,
836, 0.055, 0.168,0.001,0.001,
837, 0.035, 0.144,0.001,0,
838, 0.032, 0.149,0.001,0.001,
839, 0.036, 0.14,0.001,0.003,
840, 0.037, 0.143,0.001,0.003,
841, 0.034, 0.151,0.001,0.001,
842, 0.036, 0.187,0.003,0.001,
843, 0.037, 0.167,0.001,0.001,
844, 0.035, 0.158,0.001,0.001,
845, 0.033, 0.167,0.001,0.001,
846, 0.039, 0.181,0.001,0.001,
847, 0.044, 0.178,0.001,0.001,
848, 0.041, 0.171,0.001,0.001,
849, 0.038, 0.17,0.001,0.004,
850, 0.039, 0.144,0.001,0.001,
851, 0.039, 0.141,0.001,0.001,
852, 0.035, 0.177,0.001,0,
853, 0.035, 0.143,0.001,0.001,
854, 0.035, 0.145,0.001,0.001,
855, 0.033, 0.147,0.001,0,
856, 0.037, 0.146,0.001,0.001,
857, 0.052, 0.147,0.001,0.001,
858, 0.059, 0.16,0.001,0.001,
859, 0.037, 0.143,0.001,0.001,
860, 0.038, 0.147,0.001,0,
861, 0.038, 0.146,0.001,0.001,
862, 0.036, 0.147,0.001,0.001,
863, 0.042, 0.176,0.001,0,
864, 0.035, 0.147,0.001,0,
865, 0.037, 0.147,0.001,0.001,
866, 0.035, 0.15,0.001,0.003,
867, 0.043, 0.148,0.001,0.001,
868, 0.053, 0.159,0.002,0.004,
869, 0.044, 0.156,0.001,0.004,
870, 0.034, 0.148,0.001,0,
871, 0.05, 0.159,0.001,0,
872, 0.042, 0.157,0.001,0.001,
873, 0.054, 0.15,0.001,0.001,
874, 0.044, 0.167,0.001,0.001,
875, 0.035, 0.147,0.002,0,
876, 0.033, 0.151,0.001,0,
877, 0.038, 0.155,0.001,0.002,
878, 0.034, 0.149,0.002,0,
879, 0.035, 0.175,0.001,0.001,
880, 0.032, 0.159,0.001,0.001,
881, 0.035, 0.153,0.001,0.001,
882, 0.032, 0.159,0.001,0.001,
883, 0.033, 0.151,0.001,0,
884, 0.036, 0.156,0.002,0.001,
885, 0.05, 0.161,0.001,0.001,
886, 0.033, 0.158,0.001,0.001,
887, 0.036, 0.156,0,0.003,
888, 0.034, 0.154,0.001,0.001,
889, 0.034, 0.215,0.001,0,
890, 0.048, 0.201,0.001,0.001,
891, 0.042, 0.196,0.001,0.001,
892, 0.037, 0.164,0.002,0.001,
893, 0.042, 0.209,0.001,0.001,
894, 0.043, 0.221,0.002,0,
895, 0.04, 0.179,0.001,0.001,
896, 0.044, 0.172,0.001,0.001,
897, 0.035, 0.175,0.001,0.001,
898, 0.039, 0.17,0.001,0.001,
899, 0.037, 0.213,0.001,0.001,
900, 0.041, 0.178,0.001,0,
901, 0.037, 0.186,0.001,0.001,
902, 0.043, 0.165,0.001,0.001,
903, 0.034, 0.153,0.001,0.001,
904, 0.034, 0.184,0.001,0.001,
905, 0.034, 0.154,0.001,0,
906, 0.044, 0.157,0.001,0.001,
907, 0.033, 0.156,0.001,0.001,
908, 0.032, 0.154,0.001,0,
909, 0.035, 0.198,0.001,0.001,
910, 0.035, 0.155,0.001,0.001,
911, 0.035, 0.158,0.001,0,
912, 0.035, 0.156,0.001,0,
913, 0.033, 0.154,0.001,0,
914, 0.033, 0.166,0.001,0,
915, 0.046, 0.161,0.001,0.001,
916, 0.033, 0.157,0.001,0.001,
917, 0.032, 0.156,0,0.001,
918, 0.032, 0.156,0.001,0,
919, 0.034, 0.169,0.001,0.003,
920, 0.036, 0.182,0.001,0.003,
921, 0.036, 0.157,0.002,0.001,
922, 0.035, 0.153,0.001,0.001,
923, 0.033, 0.157,0.001,0.001,
924, 0.037, 0.162,0.001,0.001,
925, 0.05, 0.191,0.001,0.001,
926, 0.043, 0.159,0.001,0.001,
927, 0.045, 0.16,0.001,0.001,
928, 0.039, 0.191,0.001,0,
929, 0.051, 0.158,0.001,0.001,
930, 0.041, 0.194,0.001,0.001,
931, 0.047, 0.159,0.001,0.001,
932, 0.043, 0.178,0.001,0.003,
933, 0.047, 0.16,0.001,0.001,
934, 0.043, 0.161,0.001,0,
935, 0.05, 0.182,0.001,0.001,
936, 0.042, 0.164,0.001,0.001,
937, 0.043, 0.193,0.001,0.001,
938, 0.048, 0.164,0,0.001,
939, 0.051, 0.196,0.002,0,
940, 0.045, 0.174,0.001,0.001,
941, 0.055, 0.185,0.001,0.001,
942, 0.05, 0.211,0.001,0,
943, 0.051, 0.321,0.002,0,
944, 0.035, 0.175,0.001,0.004,
945, 0.04, 0.184,0.001,0,
946, 0.04, 0.199,0.001,0.004,
947, 0.04, 0.19,0.001,0,
948, 0.038, 0.205,0.001,0.001,
949, 0.033, 0.168,0.001,0.001,
950, 0.034, 0.17,0.001,0,
951, 0.034, 0.172,0.001,0.001,
952, 0.036, 0.182,0.001,0.001,
953, 0.044, 0.203,0.001,0.001,
954, 0.038, 0.189,0.002,0.001,
955, 0.04, 0.181,0.001,0,
956, 0.038, 0.21,0.001,0.003,
957, 0.051, 0.225,0.001,0.001,
958, 0.033, 0.183,0.001,0,
959, 0.038, 0.179,0.001,0.001,
960, 0.042, 0.179,0.001,0.001,
961, 0.039, 0.182,0.002,0.001,
962, 0.05, 0.203,0.001,0,
963, 0.037, 0.181,0.001,0.001,
964, 0.042, 0.18,0.001,0.001,
965, 0.039, 0.187,0.001,0.001,
966, 0.039, 0.204,0.001,0.001,
967, 0.055, 0.172,0.001,0.001,
968, 0.034, 0.169,0.001,0.005,
969, 0.038, 0.171,0.002,0,
970, 0.037, 0.176,0.001,0,
971, 0.036, 0.219,0.004,0,
972, 0.033, 0.172,0.002,0,
973, 0.034, 0.181,0.001,0,
974, 0.035, 0.174,0.001,0.001,
975, 0.033, 0.179,0.001,0.001,
976, 0.04, 0.21,0.001,0.001,
977, 0.04, 0.167,0.002,0,
978, 0.035, 0.193,0.001,0.001,
979, 0.042, 0.169,0.002,0.001,
980, 0.036, 0.175,0.001,0.001,
981, 0.035, 0.212,0.001,0.001,
982, 0.038, 0.182,0.001,0.001,
983, 0.039, 0.189,0.001,0,
984, 0.035, 0.189,0.001,0.001,
985, 0.038, 0.286,0.002,0.001,
986, 0.042, 0.186,0.001,0.001,
987, 0.039, 0.187,0.001,0.001,
988, 0.037, 0.212,0.001,0.001,
989, 0.036, 0.193,0.001,0.001,
990, 0.041, 0.215,0.001,0.001,
991, 0.039, 0.19,0.001,0.001,
992, 0.038, 0.191,0.001,0.001,
993, 0.036, 0.191,0,0.001,
994, 0.05, 0.231,0.002,0.001,
995, 0.037, 0.175,0.001,0,
996, 0.032, 0.177,0.002,0.001,
997, 0.032, 0.175,0.001,0.001,
998, 0.037, 0.18,0.001,0.001,
999, 0.034, 0.201,0.001,0,
1000, 0.034, 0.171,0.001,0.001,
